	Rp_01.1	Rp_02.1	Rp_03.2	Rp_04.1	Rp_05.1	Rp_06.1	Rp_01.6	Rp_02.6	Rp_03.6	Rp_05.4	Rp_05.5	Rp_05.6	Rp_06.6	Rp_01.4	Rp_01.5	Rp_02.4	Rp_02.5	Rp_03.4	Rp_03.5	Rp_04.4	Rp_04.5	Rp_06.4	Rp_06.5	Rp_04.6
ASV_629	0.000295112	0.000285969	0.004439627	0.000295048	0.003731425	0.003968692	0	0.00050156	0.000777994	0.0004408	0	0.000127022	0.000491823	0	0	0	0	0	0	0.000531592	0	0	0.000340855	0.000422
ASV_633	0.000392329	0.000242287	0.004651326	0.000460107	0.002677866	0.003347271	0.000301137	0	0.000166713	0.0002204	0	8.47E-05	0.000860691	0	0	0	0	0	0	0.001063183	0	0	0	0.000281334
ASV_655	0.001316963	0.001420814	0.002762331	0.002057519	0.003072204	0.002121069	0.002409094	0.000557289	0.002167269	0	0	0.001524261	0	0	0	0.002537065	0	0	0	0.001974484	0	0	0	0.001477001
ASV_658	0.000143929	0.000153354	0	3.53688E-05	0.000114148	0.000229241	0	0	0	0	0	8.47E-05	0	0	5.48E-05	0	0	0	0	0	0	0	0	0
ASV_661	0.000643903	0.000629879	0.000567376	0.000532982	0.000520094	0	0	0.000278645	5.56E-05	0.00026448	0	0.000381065	0	0.00023007	0	0	0.00027185	0	0	0.000113913	0	0	0	0.000633
ASV_663	0.002028927	0.001202092	0.001456802	0.001467122	0.002064259	0.003567942	0.000752842	0.00050156	0.001000278	0.000969761	0.000692782	0.001058515	0.000860691	0.000747728	0.00038373	0.0004757	0.002446649	0.000290585	0.001355565	0.001177096	0.001029513	0	0.001295248	0.001617668
ASV_665	0.001420254	0.001300899	0.001918535	0.001393334	0.002756236	0.003287208	0.001129263	0.000835934	0.001389275	0.001278321	0.001259604	0.001312558	0.000860691	0.000690211	0	0.00023785	0.000611662	0.00174351	0.000948895	0.000873329	0.00082361	0	0.001158907	0.000914334
ASV_666	0.001435213	0.000972904	0.001509933	0.001588171	0.003187785	0.003474873	0.000677558	0.001393223	0.001500417	0.001146081	0.000566822	0.001227877	0.000737735	0.000632693	0	0.000317133	0.001427212	0	0.000406669	0.001480863	0.000686342	0	0.001090736	0.001125334
ASV_669	0.002254221	0.00165048	0.002823171	0.002654441	0.00214228	0.002297132	0.001505684	0	0.001500417	0.002027682	0	0.00071979	0	0	0.000986734	0	0	0	0	0.001746659	0	0	0	0
ASV_674	0.00121901	0.001092881	0.001957543	0.001857813	0.003923474	0.001411149	0.002710231	0.000724476	0.002389553	0	0	0.001481921	0	0	0	0.002537065	0	0	0	0.003721142	0	0	0	0.000633
ASV_692	0.000917944	0.001314103	0.002182952	0.002073285	0.00351616	0.002919181	0	0.001281765	0	0.001675042	0	0	0	0	0.000822278	0	0	0.003293297	0	0.000873329	0	0	0	0.002602335
ASV_705	0.000557765	0.000474576	0.000665724	0.000566619	0.000681113	0	0	0.000278645	0.000111142	8.82E-05	0	0.000127022	0	0.00023007	0	0	0.000407775	0	0	3.80E-05	0	0	0	0.000562667
ASV_707	0.001379236	0.001581683	0.003048579	0.003161302	0.002069631	0.002403877	0.001957389	0	0.001333704	0.001498722	0	0.000889152	0	0	0.00076746	0	0	0	0	0.000721446	0	0	0	0
